species;species2;occ;habitat;kvadrat;x;y;temperature;precipitation;artificalSurfaces;agricultur;water;forest
Aythya fuligula;Tufted duck;1;water;7168;-567724;-1202571;138;64;1;60.74988976;2.884734;28.54889209
Aythya fuligula;Tufted duck;0;water;7169;-555554;-1203797;135;67;1;41.03438652;0;5.582252711
Aythya fuligula;Tufted duck;0;water;7170;-543382;-1204995;126;72;1;54.50188245;0;28.07041081
Aythya fuligula;Tufted duck;0;water;7171;-531207;-1206166;117;78;1;40.68812679;0;35.06500383
Aythya fuligula;Tufted duck;0;water;7172;-519030;-1207311;120;77;1;6.450246994;0;10.33959317
Aythya fuligula;Tufted duck;1;water;7249;-799961;-1185213;92;98;1;16.29373662;32.928078;43.45102252
Aythya fuligula;Tufted duck;1;water;7250;-787827;-1186951;102;92;1;63.49737472;33.459411;34.723803
Aythya fuligula;Tufted duck;1;water;7251;-775690;-1188663;107;89;1;74.54080355;0;42.93337823
Aythya fuligula;Tufted duck;0;water;7252;-763549;-1190348;108;87;1;76.14331384;0;41.82464281
Aythya fuligula;Tufted duck;1;water;7253;-751405;-1192005;111;85;1;73.73993421;0.194432;43.18028396
Aythya fuligula;Tufted duck;1;water;7254;-739257;-1193635;109;85;1;56.3102486;0.855174;38.66803006
Aythya fuligula;Tufted duck;0;water;7255;-727105;-1195239;115;81;1;7.245846449;0.301103;16.38534052
Aythya fuligula;Tufted duck;1;water;7262;-641954;-1205708;135;63;1;57.14583588;0;0.504021471
Aythya fuligula;Tufted duck;1;water;7263;-629777;-1207097;138;61;1;68.42402569;2.002853;3.501410945
Aythya fuligula;Tufted duck;0;water;7264;-617597;-1208459;139;60;1;46.53213603;0;2.376945068
Aythya fuligula;Tufted duck;1;water;7266;-593229;-1211101;137;62;1;67.29769671;4.177884;15.72276319
Aythya fuligula;Tufted duck;0;water;7267;-581040;-1212381;140;63;1;80.54602562;0;23.65029849
Aythya fuligula;Tufted duck;1;water;7268;-568849;-1213636;139;66;1;13.40788354;0.536453;13.44865988
Aythya fuligula;Tufted duck;0;water;7350;-789392;-1197961;101;96;1;26.41646924;32.873387;43.61166439
Aythya fuligula;Tufted duck;0;water;7351;-777230;-1199678;103;94;1;49.44284311;32.757324;57.9625306
Aythya fuligula;Tufted duck;1;water;7352;-765065;-1201365;108;90;1;65.84956221;0;38.96634762
Aythya fuligula;Tufted duck;1;water;7353;-752896;-1203026;103;91;1;48.54140862;0;49.754327
Aythya fuligula;Tufted duck;1;water;7354;-740724;-1204658;97;93;0;3.563663058;0;30.57383812
Aythya fuligula;Tufted duck;1;water;7367;-582180;-1223476;141;64;0;4.612798451;0;21.59155855
Bucephala clangula;Common goldeneye;0;water;4952;-728666;-936922;111;60;1;21.06617188;0;13.06340091
Bucephala clangula;Common goldeneye;0;water;5052;-730183;-947943;108;61;1;43.32639612;0;43.78852736
Bucephala clangula;Common goldeneye;0;water;5053;-718578;-949527;109;60;1;40.485024;0;17.06445645
Bucephala clangula;Common goldeneye;0;water;5056;-683740;-954123;115;61;1;82.10311912;0;25.3420262
Bucephala clangula;Common goldeneye;0;water;5057;-672120;-955603;107;65;1;37.62999704;0;26.59822905
Bucephala clangula;Common goldeneye;0;water;5158;-661867;-968099;81;78;0;0.56052835;0;12.22045663
Bucephala clangula;Common goldeneye;0;water;5151;-743326;-957351;112;59;1;18.7889999;0;54.69123176
Bucephala clangula;Common goldeneye;0;water;5152;-731699;-958965;111;59;1;31.63352458;0;67.87115169
Bucephala clangula;Common goldeneye;0;water;5153;-720070;-960552;103;61;1;28.90945631;0.269759;60.30082501
Bucephala clangula;Common goldeneye;0;water;5154;-708436;-962113;111;59;1;13.97430748;0;22.61439113
Bucephala clangula;Common goldeneye;0;water;5155;-696799;-963648;115;59;1;61.8989753;0;16.4081692
Bucephala clangula;Common goldeneye;0;water;5156;-685158;-965158;103;64;1;46.84607783;0.239514;57.99558156
Bucephala clangula;Common goldeneye;0;water;5157;-673514;-966641;83;74;1;9.194006978;1.613479;76.8840952
Bucephala clangula;Common goldeneye;0;water;5249;-768157;-965057;93;67;1;47.60439203;0.333598;33.01666178
Bucephala clangula;Common goldeneye;0;water;5250;-756514;-966726;104;61;1;65.97179856;0;43.20622212
Bucephala clangula;Common goldeneye;0;water;5251;-744867;-968369;113;58;1;61.61207038;0;36.59708649
Bucephala clangula;Common goldeneye;0;water;5252;-733216;-969985;112;58;1;83.41017772;0;27.56931016
Bucephala clangula;Common goldeneye;0;water;5253;-721562;-971576;113;58;1;67.65890004;0;38.77096796
Bucephala clangula;Common goldeneye;0;water;5254;-709904;-973141;115;58;1;88.24748667;0.330352;23.54197241
Bucephala clangula;Common goldeneye;0;water;5255;-698242;-974679;106;61;1;54.46144617;0.378764;52.78311033
Bucephala clangula;Common goldeneye;0;water;5256;-686577;-976192;105;63;2;47.39024477;0;35.26270169
Bucephala clangula;Common goldeneye;1;water;5257;-674908;-977679;95;69;1;41.05298017;1.875368;53.47181409
Bucephala clangula;Common goldeneye;0;water;5258;-663236;-979140;86;76;1;38.47746888;0;58.61850103
Bucephala clangula;Common goldeneye;0;water;5259;-651560;-980575;68;88;1;2.659456721;0;68.39168756
Bucephala clangula;Common goldeneye;0;water;5248;-779796;-963363;86;72;1;5.182450655;0;23.72115301
Bucephala clangula;Common goldeneye;0;water;5347;-793071;-972644;88;71;1;9.354910415;1.068245;73.19162756
Bucephala clangula;Common goldeneye;0;water;5348;-781411;-974369;105;62;1;39.57306902;0.839059;51.51683716
Bucephala clangula;Common goldeneye;0;water;5349;-769747;-976067;116;57;2;70.6262346;1.02054;25.22489471
Bucephala clangula;Common goldeneye;0;water;5350;-758080;-977739;110;58;2;43.83429351;0;43.3147998
Bucephala clangula;Common goldeneye;0;water;5351;-746408;-979385;104;60;1;79.81388628;0;35.5886086
Bucephala clangula;Common goldeneye;0;water;5352;-734733;-981006;113;57;1;85.41957197;1.265828;30.12529905
Bucephala clangula;Common goldeneye;1;water;5353;-723054;-982600;119;56;1;66.28265387;3.246785;34.00545234
Bucephala clangula;Common goldeneye;1;water;5354;-711371;-984168;118;57;1;37.20080606;0.32967;54.51056298
Bucephala clangula;Common goldeneye;0;water;5355;-699685;-985710;113;59;1;55.02901912;0.377984;53.62548285
Bucephala clangula;Common goldeneye;0;water;5356;-687995;-987226;112;61;1;91.00051792;0;25.11005223
Bucephala clangula;Common goldeneye;0;water;5357;-676302;-988716;108;64;1;72.27576973;0;36.18030811
Bucephala clangula;Common goldeneye;0;water;5358;-664606;-990181;103;68;1;84.8806065;0;30.0877964
Bucephala clangula;Common goldeneye;0;water;5260;-639882;-981984;72;88;0;3.306756585;0;40.8540043
Bucephala clangula;Common goldeneye;0;water;5359;-652906;-991619;94;75;1;64.69643728;0;41.98528057
Bucephala clangula;Common goldeneye;0;water;5360;-641202;-993031;85;81;1;36.09332626;0;66.00916194
Bucephala clangula;Common goldeneye;0;water;5361;-629495;-994417;97;76;1;55.02476579;0;37.78819415
Bucephala clangula;Common goldeneye;0;water;5362;-617786;-995778;100;75;1;27.03472323;0;16.01681412
Bucephala clangula;Common goldeneye;0;water;5346;-804727;-970894;93;69;1;6.33245706;0;14.06875599
Bucephala clangula;Common goldeneye;0;water;5445;-818068;-980111;86;73;1;9.953633468;0;45.67196556
Bucephala clangula;Common goldeneye;0;water;5446;-806391;-981892;92;69;1;28.48688107;0.880715;69.20452332
Bucephala clangula;Common goldeneye;0;water;5447;-794711;-983646;115;58;3;11.2860938;0.59815;44.29385404
Bucephala clangula;Common goldeneye;0;water;5448;-783026;-985374;114;57;2;61.42670297;0;22.16288105
Bucephala clangula;Common goldeneye;0;water;5449;-771338;-987076;103;60;1;67.5621592;0;41.09150203
Bucephala clangula;Common goldeneye;0;water;5450;-759645;-988752;115;56;1;73.57604512;0.748519;24.45716943
Bucephala clangula;Common goldeneye;0;water;5451;-747949;-990402;118;55;1;106.6305395;0.469835;11.62410409
Bucephala clangula;Common goldeneye;0;water;5452;-736250;-992026;117;56;1;74.43498152;0.469827;40.06243721
Bucephala clangula;Common goldeneye;0;water;5453;-724546;-993623;117;56;1;75.9630871;2.016095;35.73169367
Bucephala clangula;Common goldeneye;0;water;5454;-712839;-995195;118;56;1;20.49929831;3.417032;76.61524982
Bucephala clangula;Common goldeneye;0;water;5455;-701128;-996740;120;57;1;62.22670163;0;46.46306201
Bucephala clangula;Common goldeneye;0;water;5456;-689414;-998260;121;58;1;87.1711723;1.013402;23.66357681
Bucephala clangula;Common goldeneye;0;water;5457;-677696;-999753;114;62;1;92.41513082;0;26.12890853
Bucephala clangula;Common goldeneye;0;water;5458;-665975;-1001220;108;67;1;91.62309424;0;23.30826051
Bucephala clangula;Common goldeneye;0;water;5459;-654251;-1002662;108;69;1;86.39845499;0;26.34015564
Bucephala clangula;Common goldeneye;0;water;5460;-642523;-1004077;110;71;1;77.11193405;0;33.85066089
